iterations,random,proportional,tournament
242,1222407.025,1204229.502,1113655.867
243,1219615.294,1204229.502,1113079.605
244,1218454.368,1203815.898,1113079.605
245,1219615.294,1203815.898,1113079.605
246,1217817.183,1199342.794,1113079.605
247,1217817.183,1199342.794,1113079.605
248,1217817.183,1197052.482,1113079.605
249,1213946.081,1195335.08,1110879.498
250,1213946.081,1195335.08,1110879.498
251,1213946.081,1194566.709,1110879.498
252,1211553.051,1194566.709,1106764.443
253,1206807.85,1191626.837,1106764.443
254,1206807.85,1191626.837,1103530.829
255,1206807.85,1191626.837,1103530.829
256,1205073.331,1190482.462,1101698.72
257,1205073.331,1190482.462,1101698.72
258,1204826.801,1190482.462,1101111.39
259,1202086.109,1190482.462,1100063.741
260,1200320.796,1190482.462,1094974.662
261,1198830.847,1190482.462,1094974.662
262,1196365.508,1188804.294,1092202.708
263,1196365.508,1188804.294,1092792.468
264,1196365.508,1188968.099,1092792.468
265,1196365.508,1183718.168,1092601.46
266,1195328.924,1183718.168,1090920.919
267,1194803.098,1181679.621,1088805.279
268,1194803.098,1181679.621,1088805.279
269,1194803.098,1181679.621,1088805.279
270,1192438.248,1181679.621,1088805.279
271,1192438.248,1180095.57,1088805.279
272,1192438.248,1179857.4,1086290.924
273,1192438.248,1179857.4,1086290.924
274,1192438.248,1179857.4,1085240.616
275,1192438.248,1177929.622,1085240.616
276,1191438.074,1176803.26,1085240.616
277,1190233.019,1176803.26,1084109.839
278,1190233.019,1176803.26,1084479.457
279,1188121.33,1173805.754,1081664.91
280,1188121.33,1173805.754,1081664.91
281,1188121.33,1173805.754,1079324.052
282,1184199.777,1172438.05,1079324.052
283,1184199.777,1172438.05,1079312.036
284,1184554.76,1172438.05,1077260.247
285,1184554.76,1167736.329,1074060.097
286,1184554.76,1167736.329,1071119.424
287,1184554.76,1167736.329,1072350.118
288,1184796.502,1167736.329,1072019.67
289,1184796.502,1167736.329,1072019.67
290,1181409.541,1164369.718,1066176.725
291,1181409.541,1160661.364,1066176.725
292,1181409.541,1160661.364,1066176.725
293,1178401.641,1160661.364,1066176.725
294,1178401.641,1159020.733,1063881.783
295,1178401.641,1159020.733,1063881.783
296,1173829.512,1159020.733,1061569.509
297,1173829.512,1159020.733,1061569.509
298,1173829.512,1154326.98,1060104.744
299,1173829.512,1158041.962,1060104.744
300,1173829.512,1158041.962,1059137.983
301,1169753.131,1158041.962,1059137.983
302,1169753.131,1158041.962,1059137.983
303,1169753.131,1158041.962,1058696.032
304,1165685.421,1158090.289,1058696.032
305,1165685.421,1152461.382,1058696.032
306,1165685.421,1150719.108,1057015.144
307,1164113.819,1149846.469,1056264.506
308,1164113.819,1149846.469,1056264.506
309,1164113.819,1149846.469,1055886.196
310,1162234.24,1149846.469,1055886.196
311,1159095.833,1150719.108,1052880.038
312,1157402.295,1150719.108,1052880.038
313,1157402.295,1151718.359,1052880.038
314,1157402.295,1151718.359,1051826.729
315,1157636.567,1151718.359,1051435.339
316,1157636.567,1150508.053,1051058.655
317,1156273.312,1147694.83,1049735.619
318,1156273.312,1147694.83,1050546.827
319,1156273.312,1147470.729,1046274.346
320,1156273.312,1145043.68,1046274.346
321,1156273.312,1145043.68,1046045.303
322,1156273.312,1145043.68,1046045.303
323,1156273.312,1145043.68,1046045.303
324,1156273.312,1140319.74,1046045.303
325,1156263.752,1140319.74,1045876.557
326,1155596,1140319.74,1045005.934
327,1154608.635,1140319.74,1044282.073
328,1151887.682,1139358.443,1041559.934
329,1148044.107,1138314.637,1041559.934
330,1148044.107,1137326.153,1040159.061
331,1148044.107,1136482.696,1041071.285
332,1148044.107,1136482.696,1040345.714
333,1142842.18,1135427.836,1037849.409
334,1142842.18,1133372.385,1037849.409
335,1142842.18,1133372.385,1037115.069
336,1142842.18,1133372.385,1037115.069
337,1142842.18,1133855.502,1037115.069
338,1142842.18,1129663.477,1037104.401
339,1142842.18,1129663.477,1035408.948
340,1142842.18,1128715.219,1034747.888
341,1142149.77,1126439.003,1034747.888
342,1141989.686,1126439.003,1032092.249
343,1140210.701,1126439.003,1029947.021
344,1134543.799,1123821.428,1029896.898
345,1134543.799,1118584.969,1029896.898
346,1134543.799,1118584.969,1029004.533
347,1134543.799,1118584.969,1029004.533
348,1134543.799,1118584.969,1028023.445
349,1134543.799,1118584.969,1028023.445
350,1134543.799,1118584.969,1028023.445
351,1134543.799,1116220.763,1028023.445
352,1134543.799,1116220.763,1028023.445
353,1134543.799,1116220.763,1027016.223
354,1134543.799,1116872.512,1027016.223
355,1129721.909,1116872.512,1026030.981
356,1129721.909,1116872.512,1026030.981
357,1129721.909,1114920.935,1025407.379
358,1129721.909,1112631.221,1025407.379
359,1129721.909,1112631.221,1024426.291
360,1129721.909,1111590.589,1024426.291
361,1129721.909,1111590.589,1023995.629
362,1127103.786,1109155.278,1023607.75
363,1127103.786,1109155.278,1023607.75
364,1127103.786,1109155.278,1023607.75
365,1127103.786,1109155.278,1023032.955
366,1127103.786,1109155.278,1023032.955
367,1122651.004,1109155.278,1022418.144
368,1122651.004,1109155.278,1022418.144
369,1122651.004,1109155.278,1022180.881
370,1121049.497,1109155.278,1021482.588
371,1121049.497,1109155.278,1021339.935
372,1117952.325,1109591.217,1021339.935
373,1115992.431,1109591.217,1021339.935
374,1115992.431,1106402.895,1021099.409
